speaker_id	file_name	gender	sentence	environment	duration
1	thai_000001.wav	female	มี Doctor อุดมวโรตม์ศิครินทร์และดรนิตยากาญจนวรรณเป็นประธานโครงการ	clean	5.33
1	thai_000002.wav	female	จากรูปที่ 1 จะเห็นว่าประกอบด้วยบล็อกต่างๆ 11 Block คือ	clean	5.5
1	thai_000003.wav	female	เพื่อเป็นการทบทวนความเข้าใจของทุกฝ่ายที่เกี่ยวข้องทั้งภาครัฐบาลและเอกชนว่าศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติมีความเป็นมาอย่างไร	clean	7.0
1	thai_000004.wav	female	และสามารถเลือกพิมพ์กราฟที่ต้องการออกทางเครื่องพิมพ์ได้	clean	5.15
1	thai_000005.wav	female	เครื่องรับวิทยุสื่อสารคมนาคมผ่าน uhf นับวันจะมีบทบาทมากขึ้น	clean	8.69
1	thai_000006.wav	female	นอกจากบทเรียนทั้งภาคทฤษฎีและภาคปฏิบัติที่กล่าวในข้อ 3.1 และ 3.2 แล้ว	clean	17.73
1	thai_000007.wav	female	ส่วนหนึ่งเพราะเกรงว่าจะประสบปัญหาขาดแคลนบุคลากรที่มีความรู้ความสามารถ	clean	5.87
1	thai_000008.wav	female	และเก็บบันทึกเสียงพูดลงในแผ่นวงจรหน่วยความจำ	clean	7.01
1	thai_000009.wav	female	ฉะนั้นหนอนกอก็เป็นแมลงศัตรูข้าวชนิดหนึ่งที่ทำให้ผลิตผลข้าวลดต่ำลง	clean	5.08
1	thai_000010.wav	female	สัตว์ปีกที่มีการเลี้ยงกันในแง่การค้าคือ	clean	5.51
1	thai_000011.wav	female	ประกอบด้วยจันทันกันสาดแปลกลอน	clean	6.31
1	thai_000012.wav	female	ซึ่งใช้ส่วนต่างๆของร่างกายหรือเมล็ดพืชที่เป็นที่รู้จักคุ้นเคยมาเป็นตัวเทียบขนาด	clean	5.97
1	thai_000013.wav	female	กระบวนการผลิตแผ่นวงจรพิมพ์แบบ 2 หน้า To Home ประกอบด้วยขั้นตอนการชุบเคลือบดังแผนภาพแสดงภาพตัดขวางของรูเจาะ	clean	5.35
1	thai_000014.wav	female	เพื่อใช้ถ่ายทอดข้อมูลดิจิตอลหรือสัญญาณเสียงซึ่งอยู่ในรูปของสัญญาณ pcm	clean	5.87
1	thai_000015.wav	female	เพื่อแปลงให้เป็นข้อความสำหรับนำไปใช้ในระบบ	clean	5.98
1	thai_000016.wav	female	โดยไม่ต้องการให้ผู้ชายต้องเสียค่าใช้จ่ายในการจัดซื้อฮาร์ดแวร์เพิ่มเติมแต่อย่างใด	clean	7.61
1	thai_000017.wav	female	จำพวกสัตว์น้ำเช่นปลาช่อนดีหางเกล็ดปลาไหลหางหัวปลาหมึกกระดองหรือลิ้นทะเลปูม้ากล้ามกระดองและอื่นๆ	clean	11.24
1	thai_000018.wav	female	เมื่อเปรียบเทียบกับอัตราถ่ายทอดข้อมูลของเครื่องคอมพิวเตอร์	clean	6.34
1	thai_000019.wav	female	พระราชทานให้ใช้เป็นหลักวิชาการและเทคนิคในการปฏิบัติการฝนหลวงในพุทธศักราช 2516 เป็นต้นมาจนตราบเท่าทุกวันนี้	clean	7.74
1	thai_000020.wav	female	ถ้ามุงด้วยกระเบื้องใช้กระเบื้องครอบเป็นส่วนปิด	clean	7.6
1	thai_000021.wav	female	ใช้เป็นทั้งผ้านุ่งผ้าเช็ดตัวผ้าเคนพุงและผ้าพาดไหล่	clean	8.86
1	thai_000022.wav	female	เลเซอร์ทำขึ้นจากของแข็งก๊าซของเหลวและสารกึ่งตัวนำ	clean	5.22
1	thai_000023.wav	female	จากการทดลองพบว่าโครงสร้างของสารตัวนํายิ่งยวดที่เตรียมได้อยู่ในระบบ	clean	6.04
1	thai_000024.wav	female	มี Doctor อุดมวโรตม์ศิครินทร์และดรนิตยากาญจนวรรณเป็นประธานโครงการ	clean	7.2
1	thai_000025.wav	female	จากรูปที่ 1 จะเห็นว่าประกอบด้วยบล็อกต่างๆ 11 Block คือ	clean	6.23
1	thai_000026.wav	female	เพื่อเป็นการทบทวนความเข้าใจของทุกฝ่ายที่เกี่ยวข้องทั้งภาครัฐบาลและเอกชนว่าศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติมีความเป็นมาอย่างไร	clean	5.26
1	thai_000027.wav	female	และสามารถเลือกพิมพ์กราฟที่ต้องการออกทางเครื่องพิมพ์ได้	clean	6.22
1	thai_000028.wav	female	เครื่องรับวิทยุสื่อสารคมนาคมผ่าน usf นับวันจะมีบทบาทมากขึ้น	clean	5.33
1	thai_000029.wav	female	นอกจากบทเรียนทั้งภาคทฤษฎีและภาคปฏิบัติที่กล่าวในข้อ 3.1 และ 3.2 แล้ว	clean	6.34
1	thai_000030.wav	female	ส่วนหนึ่งเพราะเกรงว่าจะประสบปัญหาขาดแคลนบุคลากรที่มีความรู้ความสามารถ	clean	5.38
1	thai_000031.wav	female	และเก็บบันทึกเสียงพูดลงในแผ่นวงจรหน่วยความจำ	clean	6.34
1	thai_000032.wav	female	ฉะนั้นหนอนกอก็เป็นแมลงศัตรูข้าวชนิดหนึ่งที่ทำให้ผลิตผลข้าวลดต่ำลง	clean	8.17
1	thai_000033.wav	female	สัตว์ปีกที่มีการเลี้ยงกันในแง่การค้าคือ	clean	5.23
1	thai_000034.wav	female	ประกอบด้วยจันทันกันสาดแปลกลอน	clean	8.96
1	thai_000035.wav	female	ซึ่งใช้ส่วนต่างๆของร่างกายหรือเมล็ดพืชที่เป็นที่รู้จักคุ้นเคยมาเป็นตัวเทียบขนาด	clean	5.08
1	thai_000036.wav	female	กระบวนการผลิตแผ่นวงจรพิมพ์แบบ 2 หน้า To Home ประกอบด้วยขั้นตอนการชุบเคลือบดังแผนภาพแสดงภาพตัดขวางของรูเจาะ	clean	5.33
1	thai_000037.wav	female	เพื่อใช้ถ่ายทอดข้อมูลดิจิตอลหรือสัญญาณเสียงซึ่งอยู่ในรูปของสัญญาณ pcm	clean	7.46
1	thai_000038.wav	female	เพื่อแปลงให้เป็นข้อความสำหรับนำไปใช้ในระบบ	clean	6.91
1	thai_000039.wav	female	โดยไม่ต้องการให้ผู้ใช้ต้องเสียค่าใช้จ่ายในการจัดซื้อฮาร์ดแวร์เพิ่มเติมแต่อย่างใด	clean	5.4
1	thai_000040.wav	female	จำพวกสัตว์น้ำเช่นปลาช่อนดีหางเกล็ดปลาไหลหางหัวปลาหมึกกระดองหรือลิ้นทะเลปูม้าก้ามกระดองและอื่นๆ	clean	6.44
1	thai_000041.wav	female	เมื่อเปรียบเทียบกับอัตราถ่ายทอดข้อมูลของเครื่องคอมพิวเตอร์	clean	5.83
1	thai_000042.wav	female	พระราชทานให้ใช้เป็นหลักวิชาการและเทคนิคในการปฏิบัติการฝนหลวงในพุทธศักราช 2516 เป็นต้นมาจนตราบเท่าทุกวันนี้	clean	9.19
1	thai_000043.wav	female	ถ้ามุงด้วยกระเบื้องใช้กระเบื้องครอบเป็นส่วนปิด	clean	13.53
1	thai_000044.wav	female	ใช้เป็นทั้งผ้านุ่งผ้าเช็ดตัวผ้าเคนพุงและผ้าพาดไหล่	clean	5.11
1	thai_000045.wav	female	เลเซอร์ทำขึ้นจากของแข็งก๊าซของเหลวและสารกึ่งตัวนำ	clean	5.51
1	thai_000046.wav	female	จากการทดลองพบว่าโครงสร้างของสารตัวนำยิ่งยวดที่เตรียมได้อยู่ในระบบ	clean	5.22
1	thai_000047.wav	female	มี Doctor อุดมวโรตม์ศิครินทร์และดรนิตยากาญจนวรรณเป็นประธานโครงการ	clean	5.74
1	thai_000048.wav	female	จากรูปที่ 1 จะเห็นว่าประกอบด้วยบล็อกต่างๆ 11 Block คือ	clean	5.33
1	thai_000049.wav	female	เพื่อเป็นการทบทวนความเข้าใจของทุกฝ่ายที่เกี่ยวข้องทั้งภาครัฐบาลและเอกชนว่าศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติมีความเป็นมาอย่างไร	clean	7.24
1	thai_000050.wav	female	และสามารถเลือกพิมพ์กราฟที่ต้องการออกทางเครื่องพิมพ์ได้	clean	11.26
1	thai_000051.wav	female	เครื่องรับวิทยุสื่อสารคมนาคมผ่าน uhf นับวันจะมีบทบาทมากขึ้น	clean	9.25
1	thai_000052.wav	female	นอกจากบทเรียนทั้งภาคทฤษฎีและภาคปฏิบัติที่กล่าวในข้อ 3.1 และ 3.2 แล้ว	clean	5.4
1	thai_000053.wav	female	ส่วนหนึ่งเพราะเกรงว่าจะประสบปัญหาขาดแคลนบุคลากรที่มีความรู้ความสามารถ	clean	7.66
